Protein,distance,angle,MTFE,Omega2/Omega1,Frame
P15516,0.0,60,-3.0,0.450291146761735,28050
P15516,0.0,60,-2.0,0.4983478932667736,28045
P15516,0.0,60,-1.0,0.5079515065073988,28045
P15516,0.0,60,-0.5,0.4589528733582932,28045
P15516,0.0,60,0.0,0.4783264990788614,28045
P15516,0.0,60,0.5,0.4635704522493611,28045
P15516,0.0,60,1.0,0.4635169667795804,28045
P15516,0.0,60,2.0,0.4315207701907648,28045
P15516,0.0,60,3.0,0.4418256373685149,28045
P15516,0.0,30,-3.0,0.3817409387997623,28050
P15516,0.0,30,-2.0,0.404908777559874,28045
P15516,0.0,30,-1.0,0.4123016580495632,28045
P15516,0.0,30,-0.5,0.381161228977239,28045
P15516,0.0,30,0.0,0.3926190051702621,28045
P15516,0.0,30,0.5,0.3793783799845486,28045
P15516,0.0,30,1.0,0.376103880667974,28045
P15516,0.0,30,2.0,0.3489451476793249,28045
P15516,0.0,30,3.0,0.3481666369525167,28045
P15516,0.0,1,-3.0,0.2944622697563874,28050
P15516,0.0,1,-2.0,0.306988768051346,28045
P15516,0.0,1,-1.0,0.3079693349973257,28045
P15516,0.0,1,-0.5,0.2825280798716348,28045
P15516,0.0,1,0.0,0.2879003981696084,28045
P15516,0.0,1,0.5,0.2708741902894158,28045
P15516,0.0,1,1.0,0.2608189219706424,28045
P15516,0.0,1,2.0,0.2183871159446128,28045
P15516,0.0,1,3.0,0.1945741962322457,28045
P15516,0.2,30,-3.0,0.4363814616755793,28050
P15516,0.2,30,-2.0,0.4590360729779521,28045
P15516,0.2,30,-1.0,0.4683782016996494,28045
P15516,0.2,30,-0.5,0.4444701967076722,28045
P15516,0.2,30,0.0,0.4509359957211624,28045
P15516,0.2,30,0.5,0.4414036964402448,28045
P15516,0.2,30,1.0,0.4385333095620134,28045
P15516,0.2,30,2.0,0.4201580792773519,28045
P15516,0.2,30,3.0,0.4221667558091163,28045
P15516,0.2,1,-3.0,0.3883184789067142,28050
P15516,0.2,1,-2.0,0.3997860581208771,28045
P15516,0.2,1,-1.0,0.4001426279194152,28045
P15516,0.2,1,-0.5,0.373049266060498,28045
P15516,0.2,1,0.0,0.3783680988886908,28045
P15516,0.2,1,0.5,0.362548285493552,28045
P15516,0.2,1,1.0,0.3539252391989065,28045
P15516,0.2,1,2.0,0.3136744517739347,28045
P15516,0.2,1,3.0,0.2898437035716408,28045
P15516,0.5,1,-3.0,0.4508199643493761,28050
P15516,0.5,1,-2.0,0.4644618767457063,28045
P15516,0.5,1,-1.0,0.4620669162655256,28045
P15516,0.5,1,-0.5,0.4486777203304213,28045
P15516,0.5,1,0.0,0.444505853687526,28045
P15516,0.5,1,0.5,0.4355381232542937,28045
P15516,0.5,1,1.0,0.428721697272241,28045
P15516,0.5,1,2.0,0.4109050930052891,28045
P15516,0.5,1,3.0,0.397967552148333,28045
DP00103,0.0,60,-3.0,0.0813247284223537,28046
DP00103,0.0,60,-2.0,0.0713793308373447,28045
DP00103,0.0,60,-1.0,0.1509241100612111,28045
DP00103,0.0,60,0.0,0.269489510905093,28045
DP00103,0.0,60,1.0,0.3402745587448743,28045
DP00103,0.0,60,2.0,0.3813989421762643,28045
DP00103,0.0,60,3.0,0.4107030367861175,28045
DP00103,0.0,30,-3.0,0.0596044593406071,28046
DP00103,0.0,30,-2.0,0.0552504902834729,28045
DP00103,0.0,30,-1.0,0.1129969691567124,28045
DP00103,0.0,30,0.0,0.2023830748202293,28045
DP00103,0.0,30,1.0,0.2536518690200273,28045
DP00103,0.0,30,2.0,0.2815356272657039,28045
DP00103,0.0,30,3.0,0.3001485707493909,28045
DP00103,0.0,1,-3.0,0.029719033017186,28046
DP00103,0.0,1,-2.0,0.0303619183455161,28045
DP00103,0.0,1,-1.0,0.061864860046354,28045
DP00103,0.0,1,0.0,0.1126879419979794,28045
DP00103,0.0,1,1.0,0.1372258869673738,28045
DP00103,0.0,1,2.0,0.1503357698936233,28045
DP00103,0.0,1,3.0,0.1585547037499257,28045
DP00103,0.2,30,-3.0,0.0909577123297439,28046
DP00103,0.2,30,-2.0,0.0911451833363047,28045
DP00103,0.2,30,-1.0,0.1568966541867237,28045
DP00103,0.2,30,0.0,0.2570392821061389,28045
DP00103,0.2,30,1.0,0.3126582278481012,28045
DP00103,0.2,30,2.0,0.3422178641469067,28045
DP00103,0.2,30,3.0,0.362304629464551,28045
DP00103,0.2,1,-3.0,0.0687442059473721,28046
DP00103,0.2,1,-2.0,0.0612289772389611,28045
DP00103,0.2,1,-1.0,0.1061805431746597,28045
DP00103,0.2,1,0.0,0.1749034290128959,28045
DP00103,0.2,1,1.0,0.2059903726154394,28045
DP00103,0.2,1,2.0,0.2209781898139894,28045
DP00103,0.2,1,3.0,0.2302133475961252,28045
DP00103,0.5,1,-3.0,0.1775773134612184,28046
DP00103,0.5,1,-2.0,0.1728888096511558,28045
DP00103,0.5,1,-1.0,0.194960480180662,28045
DP00103,0.5,1,0.0,0.2707137338800737,28045
DP00103,0.5,1,1.0,0.3010756522255898,28045
DP00103,0.5,1,2.0,0.3139597076127652,28045
DP00103,0.5,1,3.0,0.3213407024425031,28045
Q16236_tail,0.0,60,-3.0,0.317672619047619,28000
Q16236_tail,0.0,60,-2.0,0.3216964285714285,28000
Q16236_tail,0.0,60,-1.0,0.3261428571428571,28000
Q16236_tail,0.0,60,0.0,0.3267738095238095,28000
Q16236_tail,0.0,60,1.0,0.3219345238095238,28000
Q16236_tail,0.0,60,2.0,0.3242738095238095,28000
Q16236_tail,0.0,60,3.0,0.3283988095238095,28000
Q16236_tail,0.0,30,-3.0,0.2974821428571428,28000
Q16236_tail,0.0,30,-2.0,0.291797619047619,28000
Q16236_tail,0.0,30,-1.0,0.2878035714285714,28000
Q16236_tail,0.0,30,0.0,0.28,28000
Q16236_tail,0.0,30,1.0,0.2750178571428571,28000
Q16236_tail,0.0,30,2.0,0.2716190476190476,28000
Q16236_tail,0.0,30,3.0,0.2713630952380952,28000
Q16236_tail,0.0,1,-3.0,0.2348988095238095,28000
Q16236_tail,0.0,1,-2.0,0.2233809523809523,28000
Q16236_tail,0.0,1,-1.0,0.2145892857142857,28000
Q16236_tail,0.0,1,0.0,0.2044940476190476,28000
Q16236_tail,0.0,1,1.0,0.1987202380952381,28000
Q16236_tail,0.0,1,2.0,0.1965773809523809,28000
Q16236_tail,0.0,1,3.0,0.1946845238095238,28000
Q16236_tail,0.2,30,-3.0,0.3564404761904762,28000
Q16236_tail,0.2,30,-2.0,0.3481190476190476,28000
Q16236_tail,0.2,30,-1.0,0.3416488095238095,28000
Q16236_tail,0.2,30,0.0,0.3340357142857142,28000
Q16236_tail,0.2,30,1.0,0.3275595238095238,28000
Q16236_tail,0.2,30,2.0,0.3216309523809524,28000
Q16236_tail,0.2,30,3.0,0.322,28000
Q16236_tail,0.2,1,-3.0,0.3054702380952381,28000
Q16236_tail,0.2,1,-2.0,0.291625,28000
Q16236_tail,0.2,1,-1.0,0.2786964285714285,28000
Q16236_tail,0.2,1,0.0,0.2690714285714286,28000
Q16236_tail,0.2,1,1.0,0.262297619047619,28000
Q16236_tail,0.2,1,2.0,0.2584821428571429,28000
Q16236_tail,0.2,1,3.0,0.2554880952380952,28000
Q16236_tail,0.5,1,-3.0,0.3796190476190476,28000
Q16236_tail,0.5,1,-2.0,0.3635178571428571,28000
Q16236_tail,0.5,1,-1.0,0.3489464285714285,28000
Q16236_tail,0.5,1,0.0,0.3376369047619048,28000
Q16236_tail,0.5,1,1.0,0.3289880952380952,28000
Q16236_tail,0.5,1,2.0,0.3237202380952381,28000
Q16236_tail,0.5,1,3.0,0.3182857142857143,28000
DP00778,0.0,60,-3.0,0.0604850213980028,28040
DP00778,0.0,60,-2.0,0.084442303804393,28029
DP00778,0.0,60,-1.0,0.1045366667867478,27759
DP00778,0.0,60,-0.5,0.1112209743417534,26801
DP00778,0.0,60,0.0,0.1537052891933029,28032
DP00778,0.0,60,0.5,0.1814949581430746,28032
DP00778,0.0,60,1.0,0.2095521784627093,28032
DP00778,0.0,60,2.0,0.2827958523592085,28032
DP00778,0.0,60,3.0,0.3063225361491629,28032
DP00778,0.0,30,-3.0,0.1195672848311935,28040
DP00778,0.0,30,-2.0,0.1290211328742849,28029
DP00778,0.0,30,-1.0,0.1364602471270579,27759
DP00778,0.0,30,-0.5,0.1499633098267477,26801
DP00778,0.0,30,0.0,0.1847828671993911,28032
DP00778,0.0,30,0.5,0.2034995719178082,28032
DP00778,0.0,30,1.0,0.2203553082191781,28032
DP00778,0.0,30,2.0,0.2672243626331811,28032
DP00778,0.0,30,3.0,0.2776291381278539,28032
DP00778,0.0,1,-3.0,0.172782929148835,28040
DP00778,0.0,1,-2.0,0.1722085459107828,28029
DP00778,0.0,1,-1.0,0.1631062598316462,27759
DP00778,0.0,1,-0.5,0.1775244704799572,26801
DP00778,0.0,1,0.0,0.1918818968797564,28032
DP00778,0.0,1,0.5,0.1990582191780822,28032
DP00778,0.0,1,1.0,0.2016921137747336,28032
DP00778,0.0,1,2.0,0.2226740867579908,28032
DP00778,0.0,1,3.0,0.2203731449771689,28032
DP00778,0.2,30,-3.0,0.1965049928673324,28040
DP00778,0.2,30,-2.0,0.213635877127261,28029
DP00778,0.2,30,-1.0,0.1997310181682817,27759
DP00778,0.2,30,-0.5,0.2224792607241023,26801
DP00778,0.2,30,0.0,0.2490665429984779,28032
DP00778,0.2,30,0.5,0.2687048135464231,28032
DP00778,0.2,30,1.0,0.2793057933789954,28032
DP00778,0.2,30,2.0,0.3224053462709285,28032
DP00778,0.2,30,3.0,0.3301702815829528,28032
DP00778,0.2,1,-3.0,0.2485080836899667,28040
DP00778,0.2,1,-2.0,0.2433610427295539,28029
DP00778,0.2,1,-1.0,0.2249060364806609,27759
DP00778,0.2,1,-0.5,0.2424785144832904,26801
DP00778,0.2,1,0.0,0.258484351217656,28032
DP00778,0.2,1,0.5,0.2624441114916286,28032
DP00778,0.2,1,1.0,0.2674740772450533,28032
DP00778,0.2,1,2.0,0.286238346651446,28032
DP00778,0.2,1,3.0,0.2817434836377473,28032
DP00778,0.5,1,-3.0,0.361115073704232,28040
DP00778,0.5,1,-2.0,0.3797435988916242,28029
DP00778,0.5,1,-1.0,0.3429278192057831,27759
DP00778,0.5,1,-0.5,0.3664664253821375,26801
